Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Year
21,Minnesota Timberwolves,W,NW,33,49,0.402,-1.88,103.52,105.65,-2.13,-1.75,103.59,105.58,-1.99,2006
22,Philadelphia 76ers,E,A,38,44,0.463,-1.95,106.89,109,-2.1,-2.11,106.79,109.06,-2.27,2006
23,Utah Jazz,W,NW,41,41,0.5,-2.63,104.93,107.9,-2.96,-2.49,104.98,107.79,-2.81,2006
24,New Orleans/Oklahoma City Hornets,W,SW,38,44,0.463,-2.82,104.5,107.77,-3.27,-2.51,104.62,107.56,-2.94,2006
25,Toronto Raptors,E,A,27,55,0.329,-2.99,110.22,113.34,-3.12,-3.03,110.4,113.57,-3.17,2006
26,Seattle SuperSonics,W,NW,35,47,0.427,-3.02,111.99,115.45,-3.45,-2.88,112.49,115.79,-3.31,2006
27,Charlotte Bobcats,E,SE,26,56,0.317,-4,103.14,107.48,-4.33,-3.9,103.06,107.27,-4.21,2006
28,Atlanta Hawks,E,SE,26,56,0.317,-4.76,107.2,112.46,-5.26,-4.69,107.29,112.47,-5.17,2006
29,New York Knicks,E,A,23,59,0.28,-6.4,104.74,111.87,-7.14,-6.3,104.74,111.74,-7,2006
30,Portland Trail Blazers,W,NW,21,61,0.256,-9.45,102.06,112.87,-10.81,-8.91,102.35,112.56,-10.21,2006
1,San Antonio Spurs,W,SW,58,24,0.707,8.43,110.11,100.64,9.47,8.35,109.84,100.47,9.37,2007
2,Dallas Mavericks,W,SW,67,15,0.817,7.22,112.32,104.12,8.2,7.28,112.23,103.98,8.25,2007
3,Phoenix Suns,W,P,61,21,0.744,7.3,114.68,106.9,7.78,7.27,114.66,106.9,7.76,2007
4,Houston Rockets,W,SW,52,30,0.634,4.85,106.64,101.31,5.33,5.04,106.43,100.9,5.53,2007
5,Chicago Bulls,E,C,49,33,0.598,5.01,105.71,100.32,5.39,4.52,105.36,100.5,4.86,2007
6,Detroit Pistons,E,C,53,29,0.646,4.16,109.8,104.87,4.93,3.68,109.72,105.33,4.39,2007
7,Cleveland Cavaliers,E,C,50,32,0.61,3.83,106.15,102.1,4.05,3.33,105.92,102.41,3.52,2007
8,Utah Jazz,W,NW,51,31,0.622,2.87,110.65,107.4,3.25,3.06,110.7,107.24,3.45,2007
9,Denver Nuggets,W,NW,45,37,0.549,1.62,108.12,106.51,1.62,1.69,107.95,106.24,1.7,2007
10,Toronto Raptors,E,A,47,35,0.573,0.99,107.92,106.56,1.36,0.61,107.84,106.91,0.93,2007
11,Orlando Magic,E,SE,40,42,0.488,0.78,105.99,105.03,0.96,0.34,105.76,105.28,0.48,2007
12,Los Angeles Lakers,W,P,42,40,0.512,-0.07,109.09,109.28,-0.19,0.24,109.18,109.02,0.16,2007
13,Golden State Warriors,W,P,42,40,0.512,-0.34,107.62,107.84,-0.22,-0.01,107.61,107.48,0.14,2007
14,Los Angeles Clippers,W,P,40,42,0.488,-0.46,105.9,106.55,-0.65,-0.07,105.91,106.14,-0.22,2007
15,Washington Wizards,E,SE,41,41,0.5,-0.51,110.57,111.28,-0.71,-0.8,110.7,111.71,-1.01,2007
16,New Jersey Nets,E,A,41,41,0.5,-0.77,106.45,107.43,-0.97,-1,106.49,107.7,-1.22,2007
17,Sacramento Kings,W,P,33,49,0.402,-1.8,106.79,108.59,-1.8,-1.35,106.92,108.23,-1.31,2007
18,New Orleans/Oklahoma City Hornets,W,SW,39,43,0.476,-1.57,105.68,107.51,-1.83,-1.2,105.78,107.19,-1.41,2007
19,Miami Heat,E,SE,44,38,0.537,-0.91,105.25,106.36,-1.12,-1.21,105.23,106.67,-1.44,2007
20,Indiana Pacers,E,C,35,47,0.427,-2.44,103.7,106.21,-2.51,-2.62,103.72,106.44,-2.72,2007
21,Seattle SuperSonics,W,NW,31,51,0.378,-2.89,108.21,111.52,-3.31,-2.45,108.45,111.27,-2.82,2007
