Player,MP,PTS,TRB,AST,ROY
Marial Shayok\shayoma01,7,2.8,1.8,0.3,N
Chris Silva\silvach01,8,3.1,2.9,0.6,N
Alen Smailagić\smailal01,9.9,4.2,1.9,0.9,N
Max Strus\strusma01,13.8,6.7,1,0.5,N
Matt Thomas\thomama02,9.4,4.1,1.2,0.5,N
Matisse Thybulle\thybuma01,19.2,4.2,1.6,1.1,N
Juan Toscano-Anderson\toscaju01,20.7,5.6,4.3,2.1,N
Rayjon Tucker\tuckera01,8.1,3.1,1,0.3,N
Gabe Vincent\vincega01,13.5,4.9,0.9,1.1,N
Dean Wade\wadede01,9.8,2.9,2,0.5,N
P.J. Washington\washipj01,30,12.3,5.8,2.4,N
Tremont Waters\watertr01,10.3,3.5,1,2.2,N
Paul Watson\watsopa01,6.2,2.3,1.2,0.4,N
Quinndary Weatherspoon\weathqu01,6.4,1,0.6,0.9,N
Coby White\whiteco01,28.3,14.3,4.1,3.5,N
Grant Williams\willigr01,16.1,4,2.7,1,N
Nigel Williams-Goss\willini01,5,1.4,0.6,0.6,N
Zion Williamson\willizi01,30.9,24.3,6.8,2.9,N
Justin Wright-Foreman\wrighju02,11.3,4.8,1.3,1.8,N
